Date	RX Average	RX Peak	TX Average	TX Peak	RX90	TX90
2013/05/31 19:00 	25917318 	690829311 	14023195 	125644321 	41036185 	22702830
2013/06/01 19:00 	5603811 	116655615 	11723052 	94874964 	9158894 	17540402
2013/06/02 19:00 	28787046 	228293529 	35280410 	157201885 	61290324 	73501729
2013/06/03 19:00 	25619600 	236978517 	35114991 	173037977 	58492654 	77101636
2013/06/04 19:00 	25402211 	223612108 	38310242 	215580602 	56018158 	81627613
2013/06/05 19:00 	22283523 	120726630 	36080650 	172341895 	47881079 	78448537
2013/06/06 19:00 	27969656 	142439218 	33178049 	168391371 	66818730 	79795950
2013/06/07 19:00 	7742638 	120783564 	12093529 	93718732 	12741222 	18606830
2013/06/08 19:00 	8875405 	164544034 	11568380 	83011276 	22105121 	20088763
2013/06/09 19:00 	31985839 	253478331 	32840207 	164503414 	72893951 	75726267
2013/06/10 19:00 	26188011 	292006263 	33408010 	176034678 	58536822 	77510211
2013/06/11 19:00 	25370060 	174353441 	39071341 	188324454 	55744238 	84704324
2013/06/12 19:00 	28399920 	173661866 	37219147 	190356991 	56478753 	77780684
2013/06/13 19:00 	25849030 	153936007 	47303023 	217837601 	56095846 	88059391
2013/06/14 19:00 	6894042 	118266811 	12676593 	94650640 	11140368 	19469174
2013/06/15 19:00 	8613930 	104842990 	11290367 	109882435 	19468731 	17681134
2013/06/16 19:00 	33645735 	177037174 	38111524 	237095492 	100410709 	83116270
2013/06/17 19:00 	30731644 	200246817 	56078980 	274218597 	72469265 	103090072
2013/06/18 19:00 	31339584 	188288204 	54385696 	538838902 	77884415 	125531340
2013/06/19 19:00 	26650925 	391949414 	52823762 	399333478 	55265927 	122416025
2013/06/20 19:00 	30574420 	239245345 	40876229 	268525328 	66017382 	92215227
2013/06/21 19:00 	7161691 	143284052 	13802385 	121946316 	13323980 	21156795
2013/06/22 19:00 	8481020 	128553676 	16115991 	111126971 	15234423 	28194371
2013/06/23 19:00 	40022074 	288087722 	59550724 	339972095 	113673010 	130864229
2013/06/24 19:00 	32497708 	155017659 	62353352 	355222766 	90818798 	154948061
2013/06/25 19:00 	30734574 	254046002 	46686279 	347020116 	79442807 	106424046
2013/06/26 19:00 	42217052 	267829077 	55429956 	338260241 	123425894 	132554922
2013/06/27 19:00 	24308701 	308431052 	45000528 	362929322 	57843950 	108178944
2013/06/28 19:00 	11866392 	134274252 	16377910 	257712229 	26513816 	25804765
2013/06/29 19:00 	8601814 	111838856 	30631189 	272074956 	10667587 	84290286
2013/06/30 19:00 	29707224 	650403805 	60448628 	404438185 	64182817 	145543030
2013/07/01 19:00 	30447237 	191425569 	35941632 	286233394 	70310160 	77055897
2013/07/02 19:00 	27943848 	191096490 	42377214 	202576417 	65292901 	93314968
2013/07/03 19:00 	7018158 	120145339 	13687464 	136717107 	10942907 	21194342
2013/07/04 19:00 	22664633 	175493324 	48996347 	289679974 	52719308 	110551551
2013/07/05 19:00 	7140192 	164878096 	11388535 	75054591 	13359240 	17514393
2013/07/06 19:00 	7595732 	182419046 	13797836 	152153667 	15101132 	21581516
2013/07/07 19:00 	25947767 	206745463 	46200694 	316235741 	58521872 	99903419
2013/07/08 19:00 	33345002 	177834051 	45277570 	597986576 	77008588 	111293917
2013/07/09 19:00 	25706724 	171767159 	46510051 	416106836 	58728208 	106964513
2013/07/10 19:00 	28973992 	215788850 	46565333 	324082175 	63133661 	98983354
2013/07/11 19:00 	26484675 	144394580 	43635313 	305721616 	65351714 	95342181
2013/07/12 19:00 	6791376 	164620048 	30571630 	282334617 	11441185 	107880584
2013/07/13 19:00 	6717592 	186272358 	19566176 	220367905 	11212185 	30831240
2013/07/14 19:00 	25102289 	167046212 	51035084 	407325525 	55385463 	109238510
2013/07/15 19:00 	34614499 	503170764 	59192482 	400902656 	82210064 	156311756
2013/07/16 19:00 	26218410 	171424630 	62801888 	445217518 	60864409 	139886181
2013/07/17 19:00 	28568297 	153745475 	61886538 	430400135 	67897173 	141704635
2013/07/18 19:00 	28629130 	249100321 	52124689 	401909588 	64268287 	110713275
2013/07/19 19:00 	7330609 	89850128 	19047917 	124030839 	11181226 	27391214
2013/07/20 19:00 	7156877 	88358228 	29302873 	355641172 	10853238 	62557524
2013/07/21 19:00 	32863024 	267012403 	63031843 	490474393 	67762551 	165645925
2013/07/22 19:00 	36281095 	181693951 	84804412 	683232187 	90718549 	220917076
2013/07/23 19:00 	34815845 	237792665 	93446564 	435074832 	84720332 	257216750
2013/07/24 19:00 	26662631 	171652197 	76350004 	598694740 	58792720 	222418807
2013/07/25 19:00 	28898415 	247944225 	67485556 	491094732 	66192383 	186074896
2013/07/26 19:00 	7152714 	203738384 	13289360 	101627596 	10050013 	19339263
2013/07/27 19:00 	7585749 	191464276 	26038765 	306085887 	11260825 	50402576
2013/07/28 19:00 	27656408 	177765102 	56348553 	452377121 	67017931 	115245123
2013/07/29 19:00 	32713868 	315470165 	83811490 	577050146 	81968434 	262124611
2013/07/30 19:00 	29250766 	147859114 	66353784 	461012411 	72600302 	171030595
2013/07/31 19:00 	29269758 	697764386 	60036914 	445775598 	61777271 	155081454
2013/08/01 19:00 	33062627 	281874875 	53851322 	386678647 	86319547 	127289445
2013/08/02 19:00 	7645526 	132730026 	13385023 	88520840 	12960221 	21883050
2013/08/03 19:00 	6747798 	111797316 	14484525 	109952374 	11149141 	23128507
2013/08/04 19:00 	26653532 	183283540 	63954968 	391054198 	61355109 	156454741
2013/08/05 19:00 	29289798 	646962653 	37858788 	192832170 	68047735 	81173537
2013/08/06 19:00 	29270354 	167442090 	38123733 	165431500 	67705787 	87440758
2013/08/07 19:00 	33660357 	255958697 	37048758 	201632050 	79564868 	82770397
