Date	RX Average	RX Peak	TX Average	TX Peak	RX90	TX90
2013/05/31 19:00 	64463489 	852411596 	18668095 	109891754 	105503402 	26998441
2013/06/01 19:00 	107546778 	880013414 	13741482 	87173221 	259989161 	21850180
2013/06/02 19:00 	228052709 	1139460095 	60318134 	349627357 	500689782 	159981225
2013/06/03 19:00 	241760355 	778724965 	67228105 	376020445 	499165832 	160170837
2013/06/04 19:00 	323863850 	767199709 	72969652 	299999641 	587258674 	184847905
2013/06/05 19:00 	340357222 	1037226051 	54080095 	334162704 	580986333 	101721770
2013/06/06 19:00 	246322560 	790162465 	31697431 	121711990 	465797494 	57767424
2013/06/07 19:00 	58567387 	877364974 	11708417 	56853264 	97290034 	18163609
2013/06/08 19:00 	208915594 	912466602 	18405863 	229870557 	506148658 	29430613
2013/06/09 19:00 	222639692 	708803242 	44809252 	322356496 	491432447 	88704511
2013/06/10 19:00 	227106453 	677266261 	57301307 	366491886 	478779938 	115531911
2013/06/11 19:00 	233841766 	686186325 	56309370 	299059096 	472037341 	120916274
2013/06/12 19:00 	240825135 	771420876 	69385508 	361355229 	510957772 	161069601
2013/06/13 19:00 	220025949 	987999777 	71040994 	483168016 	461920665 	155920793
2013/06/14 19:00 	61893555 	638289885 	17029353 	200616754 	106460261 	24553847
2013/06/15 19:00 	131042609 	984542105 	14258379 	122104797 	340875672 	22363237
2013/06/16 19:00 	226865478 	747893930 	38462923 	551232135 	492803993 	73927440
2013/06/17 19:00 	215711725 	790193356 	44580235 	614631013 	455825100 	94438706
2013/06/18 19:00 	226454868 	809801557 	44366514 	238140483 	477850452 	109081633
2013/06/19 19:00 	259026707 	828587860 	37546063 	360246784 	539193036 	77418734
2013/06/20 19:00 	202784948 	639726113 	42734616 	534015624 	421377978 	103569168
2013/06/21 19:00 	69797055 	810015094 	15954318 	120211933 	136685703 	23969313
2013/06/22 19:00 	136487438 	919823154 	13015456 	48517870 	396308206 	22124032
2013/06/23 19:00 	225272550 	747949226 	39278222 	434568567 	483443882 	76719479
2013/06/24 19:00 	251530660 	905980039 	43697913 	406427305 	531956905 	92578849
2013/06/25 19:00 	264132926 	718007363 	45618136 	309426517 	528310374 	88539442
2013/06/26 19:00 	245597460 	693272677 	105571997 	849110903 	510215781 	422830488
2013/06/27 19:00 	208482981 	671435673 	265887999 	892787472 	452816929 	696350446
2013/06/28 19:00 	99797628 	594336153 	281751541 	905801488 	141932645 	760026965
2013/06/29 19:00 	174311056 	1016842615 	16603210 	128423491 	326573874 	28219938
2013/06/30 19:00 	299281266 	876372684 	68491955 	351014536 	571058994 	158369279
2013/07/01 19:00 	281678430 	932157849 	63147075 	338480093 	620541678 	117599880
2013/07/02 19:00 	262219688 	993783124 	53742902 	368512341 	543415637 	98249489
2013/07/03 19:00 	190930438 	878482261 	98251420 	350781849 	513905493 	231172402
2013/07/04 19:00 	241622609 	940014113 	103275653 	332426751 	462374228 	227905228
2013/07/05 19:00 	96932271 	698884334 	117113496 	387806582 	138454561 	301222502
2013/07/06 19:00 	188442051 	965484884 	156160927 	573416857 	430655965 	354531498
2013/07/07 19:00 	243657191 	766285414 	146520967 	756491570 	511992012 	476938307
2013/07/08 19:00 	243847276 	1040389290 	61740310 	350681975 	522007893 	140839594
2013/07/09 19:00 	247024948 	775149464 	94693234 	382242235 	513571293 	185300206
2013/07/10 19:00 	271072421 	873984887 	103452541 	566485913 	592089292 	198334020
2013/07/11 19:00 	239834543 	849349358 	60494589 	627532663 	560877055 	129349802
2013/07/12 19:00 	53118326 	612683468 	27149152 	144383623 	104115882 	47504110
2013/07/13 19:00 	120809475 	923693704 	28767757 	148093610 	327449394 	51420262
2013/07/14 19:00 	236285132 	901069003 	115904088 	525373747 	544773767 	259867374
2013/07/15 19:00 	223730097 	766828578 	142448986 	842924577 	484868778 	281003450
2013/07/16 19:00 	253432779 	969976455 	129447070 	852666060 	579201023 	258044552
2013/07/17 19:00 	277615866 	776000716 	114965421 	597071325 	586355233 	263973068
2013/07/18 19:00 	227848843 	853530691 	100339806 	578730939 	500686779 	221043916
2013/07/19 19:00 	62606026 	561262933 	67465426 	631508548 	105394448 	193994683
2013/07/20 19:00 	123477687 	965999717 	23451953 	302158915 	289533814 	39930231
2013/07/21 19:00 	247113202 	977495175 	57386253 	695146939 	532858981 	130007005
2013/07/22 19:00 	240501522 	821612406 	222019454 	963559765 	524243967 	731671483
2013/07/23 19:00 	244032143 	845631657 	182050993 	968775884 	542112767 	636218299
2013/07/24 19:00 	235843122 	785613345 	48508263 	319043720 	532227208 	90896452
2013/07/25 19:00 	225631589 	787469891 	48239578 	467353769 	518102356 	89719704
2013/07/26 19:00 	87193198 	637952307 	24592105 	500039167 	141415150 	37241582
2013/07/27 19:00 	168162900 	926810009 	24573888 	190000435 	348194610 	38894796
2013/07/28 19:00 	244149677 	787055035 	67838336 	881695743 	560252210 	141442867
2013/07/29 19:00 	247824285 	843256182 	208793979 	808007918 	533284693 	612067463
2013/07/30 19:00 	255195073 	807580432 	509438076 	918297497 	563667763 	771320763
2013/07/31 19:00 	271829682 	774127273 	362920523 	1106635809 	523775521 	736187732
2013/08/01 19:00 	281080895 	870331664 	48069250 	408525618 	548586598 	91572599
2013/08/02 19:00 	78298736 	749296127 	19978181 	111678532 	159224080 	36970153
2013/08/03 19:00 	97729650 	611593044 	26343608 	86801441 	213203728 	46053921
2013/08/04 19:00 	224566910 	731241233 	45715481 	599089083 	500313224 	97111346
2013/08/05 19:00 	261609465 	832870468 	68320054 	465583546 	538174531 	165976268
2013/08/06 19:00 	237472148 	924152421 	55963177 	374141371 	547896489 	106346734
2013/08/07 19:00 	233404012 	900263457 	136130938 	971186448 	509782766 	385072502
2013/08/08 19:00 	215169522 	633155788 	80453468 	764231065 	458663457 	158523118
2013/08/09 19:00 	74531836 	532232703 	23040567 	358976750 	136004436 	37366680
2013/08/10 19:00 	120223631 	774240904 	22283076 	179438352 	249853235 	37847073
2013/08/11 19:00 	255372613 	894345693 	185509671 	763695172 	541180825 	344404718
2013/08/12 19:00 	238595318 	695894664 	170937351 	529777117 	504290849 	277094262
2013/08/13 19:00 	270273643 	1033342702 	138715296 	682548018 	571462484 	286565273
2013/08/14 19:00 	311548942 	974972757 	90838511 	792988534 	678989891 	185422847
2013/08/15 19:00 	385208541 	1283731148 	131367351 	1001136742 	1009070284 	319327197
2013/08/16 19:00 	140585130 	694932888 	102319367 	519595178 	255602277 	194425480
2013/08/17 19:00 	219685258 	1154088584 	21863856 	194818457 	355494911 	35529830
2013/08/18 19:00 	310350495 	865589349 	75696548 	820073846 	545155208 	160396730
2013/08/19 19:00 	274761586 	781513693 	113780166 	478230083 	542086757 	245146282
2013/08/20 19:00 	272017746 	1165371869 	107751008 	900607521 	648600063 	235804808
2013/08/21 19:00 	256539716 	831853635 	125550931 	875453370 	521677141 	289264024
2013/08/22 19:00 	253537486 	955124223 	55409759 	790128502 	517437644 	88588424
2013/08/23 19:00 	70101146 	487770453 	21070987 	347194436 	107354589 	32768887
2013/08/24 19:00 	120449406 	895850700 	19476648 	96336519 	267044795 	35061555
2013/08/25 19:00 	247278750 	1032459980 	54562832 	353565047 	549576362 	113008503
2013/08/26 19:00 	248650926 	931708244 	56021983 	768969352 	541510928 	101455598
2013/08/27 19:00 	250382696 	1018648370 	99328848 	770811801 	536594021 	263663717
2013/08/28 19:00 	256800718 	883087598 	65323424 	686279781 	532088489 	127607773
2013/08/29 19:00 	217363072 	639888008 	81471891 	843904921 	459737667 	133536323
2013/08/30 19:00 	67596548 	630340402 	218038495 	823874422 	105034888 	665945974
2013/08/31 19:00 	155810694 	849558015 	334249452 	939769002 	286839705 	782359142
2013/09/01 19:00 	132570190 	622533768 	305562078 	849492069 	191227425 	672225415
2013/09/02 19:00 	268630894 	965908138 	164811994 	883677729 	583483527 	614809258
2013/09/03 19:00 	255977380 	989029546 	53318957 	208136806 	516574992 	104907776
2013/09/04 19:00 	245279955 	1039342967 	92314783 	673913786 	503451032 	233156164
2013/09/05 19:00 	236833036 	965616775 	59802961 	565302067 	506026665 	163496106
2013/09/06 19:00 	79518553 	593611946 	23457693 	463571182 	116967832 	39614872
2013/09/07 19:00 	158276612 	23265785514 	24019811 	3701614420 	301542058 	36393744
2013/09/08 19:00 	246958435 	845092454 	55465086 	433317102 	539933763 	107246830
2013/09/09 19:00 	248821106 	772633496 	67602983 	428968345 	532019950 	181138021
2013/09/10 19:00 	288212208 	897794763 	55058135 	352074580 	590039960 	112077482
2013/09/11 19:00 	279141638 	825616315 	56260013 	557348282 	580483822 	102710032
2013/09/12 19:00 	267685040 	842084283 	152962633 	807193292 	561294608 	384031743
2013/09/13 19:00 	80926631 	517399893 	608005812 	965527107 	125144063 	828339574
2013/09/14 19:00 	154037629 	878798950 	705478600 	969859822 	399359419 	937111961
2013/09/15 19:00 	281612981 	914867540 	412855273 	1065146265 	612310936 	966912511
2013/09/16 19:00 	248345756 	805707775 	67652966 	642268534 	526040097 	160942693
2013/09/17 19:00 	307384507 	1152187937 	55392435 	626241364 	685423377 	104655632
2013/09/18 19:00 	443234803 	1201994001 	63772775 	474429849 	750984294 	133826149
2013/09/19 19:00 	287559555 	1033175312 	47449800 	264585523 	616656622 	90912596
2013/09/20 19:00 	82455827 	481488588 	28884015 	308857173 	131797879 	41150975
2013/09/21 19:00 	1932014675 	2564584388915 	2126807031 	3031933744059 	340300492 	36186657
2013/09/22 19:00 	264090996 	999693311 	59155194 	919756287 	596828740 	125994325
2013/09/23 19:00 	307016033 	1120265864 	57560953 	252669575 	629766143 	128711918
2013/09/24 19:00 	306459259 	1081745373 	57013465 	274807295 	633087863 	125247317
2013/09/25 19:00 	289655934 	1160253064 	90489840 	436744328 	582433894 	166710851
2013/09/26 19:00 	217984558 	838649718 	100709615 	433391411 	460962098 	155738896
2013/09/27 19:00 	76780501 	550256878 	59987284 	515848089 	125798707 	123590519
2013/09/28 19:00 	142998716 	873569177 	33075975 	446485947 	302464101 	80444279
2013/09/29 19:00 	249980881 	886948249 	65620192 	500172902 	538854945 	147982540
2013/09/30 19:00 	268077793 	908164470 	142597813 	849427933 	573715250 	434923587
2013/10/01 19:00 	272893306 	944648225 	133209080 	840243882 	581425629 	410945843
2013/10/02 19:00 	274731099 	1026947617 	80969319 	509090917 	566221994 	177467425
2013/10/03 19:00 	284073186 	1014602922 	54990000 	478791645 	674231261 	110488200
2013/10/04 19:00 	91506687 	509188334 	24323277 	132951995 	148112076 	53002682
2013/10/05 19:00 	142211153 	879050717 	22820528 	157827174 	297149678 	52341042
2013/10/06 19:00 	275066253 	951578964 	69911603 	549330977 	645733717 	152323686
2013/10/07 19:00 	288574498 	969631948 	85289523 	479372458 	602250786 	184121138
2013/10/08 19:00 	291552265 	796750062 	69593130 	562058785 	611582838 	141585509
2013/10/09 19:00 	288559986 	1233191355 	100532720 	649751551 	603322504 	224596718
2013/10/10 19:00 	266392902 	1012706951 	89776941 	456515208 	516324692 	192787012
2013/10/11 19:00 	115917306 	588419856 	31315928 	193579348 	171039163 	66761317
2013/10/12 19:00 	148031024 	953091412 	27359228 	156798770 	296444517 	64389631
2013/10/13 19:00 	283132468 	1023435332 	139968210 	897345467 	618031581 	352266854
2013/10/14 19:00 	285748921 	965856972 	69313610 	634161663 	559996757 	148910386
2013/10/15 19:00 	291949324 	952732262 	71190426 	452065449 	605914180 	144611737
2013/10/16 19:00 	338670964 	1072688981 	91076423 	679016140 	676004590 	235659912
2013/10/17 19:00 	261249114 	867617143 	69214847 	555062954 	497579485 	116571613
2013/10/18 19:00 	83416565 	488259925 	34665001 	434893175 	140102791 	73157768
2013/10/19 19:00 	247447544 	924283528 	29008867 	162328882 	626716568 	64949486
2013/10/20 19:00 	268233215 	936716492 	96276385 	664134178 	556280558 	271997302
2013/10/21 19:00 	294072672 	1085016028 	58707996 	222393241 	650830233 	118835848
2013/10/22 19:00 	505938896 	1605373576 	103453904 	394552865 	963295709 	257992395
2013/10/23 19:00 	386677081 	1174023509 	69229073 	454650675 	734104165 	132442452
2013/10/24 19:00 	275580442 	954118860 	67325495 	619834845 	584888967 	128231969
2013/10/25 19:00 	78228465 	524035447 	28085682 	140931310 	132937761 	63564730
2013/10/26 19:00 	126459356 	1203666465 	30968712 	168564974 	270012450 	68935372
2013/10/27 19:00 	476409921 	1336577330 	100003153 	544984132 	955726983 	312012390
2013/10/28 19:00 	278783585 	1016964880 	54520908 	398706619 	588798873 	109483246
2013/10/29 19:00 	278416547 	1098696703 	80579901 	462884419 	590925550 	156309606
2013/10/30 19:00 	333313913 	1261366373 	154006113 	702453691 	807990886 	445869670
2013/10/31 19:00 	501288070 	1314534570 	163789852 	787404116 	1034037622 	401501695
2013/11/01 19:00 	158429836 	777833164 	92395217 	756092210 	437668795 	391534250
2013/11/02 19:00 	145806472 	873930170 	107128723 	508604381 	311213533 	397637767
2013/11/03 18:00 	281851875 	1287597225 	105028959 	675937996 	589238407 	438972927
2013/11/04 18:00 	307048507 	881637307 	59718259 	568489813 	665240097 	128021025
2013/11/05 18:00 	269695601 	829228270 	119752148 	697747728 	568809539 	344780287
2013/11/06 18:00 	270786071 	915081454 	94318159 	677779352 	545715643 	214883566
2013/11/07 18:00 	270645692 	891554405 	78035808 	754418721 	590922956 	125204138
2013/11/08 18:00 	94244227 	415475882 	37809385 	517422080 	223949175 	69047910
2013/11/09 18:00 	114864709 	1069740509 	27783488 	143589614 	233360826 	61445836
2013/11/10 18:00 	301519421 	1151646650 	111841981 	838990472 	748577688 	312602999
2013/11/11 18:00 	305515927 	1132662783 	105551123 	487402154 	681169748 	298216481
2013/11/12 18:00 	300387652 	1103340509 	83438699 	617638842 	578918672 	133559193
2013/11/13 18:00 	273182149 	1009143432 	153201671 	903579203 	620960392 	434999022
2013/11/14 18:00 	240872802 	978454220 	167701926 	911180628 	526476457 	503390651
2013/11/15 18:00 	85182730 	427027284 	38295829 	359042218 	143790387 	86874009
2013/11/16 18:00 	131501766 	950513561 	39807588 	366056788 	215566847 	90995984
2013/11/17 18:00 	270046016 	906820607 	136701054 	869925580 	592386491 	317380436
2013/11/18 18:00 	301618600 	992029353 	211092801 	843187677 	678569880 	500113987
2013/11/19 18:00 	304827311 	1069206595 	157096611 	815833769 	603800029 	350132428
2013/11/20 18:00 	289989789 	1134015043 	172366937 	905253717 	618086024 	339591509
2013/11/21 18:00 	270983176 	1041195758 	123901515 	883095926 	603099135 	250543308
2013/11/22 18:00 	179607868 	782847351 	43397481 	368520840 	511276407 	92071048
2013/11/23 18:00 	134861320 	936370312 	35061237 	161166335 	260567415 	79788168
2013/11/24 18:00 	274301086 	897674853 	63028729 	416611703 	557205162 	122553480
2013/11/25 18:00 	402577382 	1263861315 	210521205 	982853494 	881226444 	783940778
2013/11/26 18:00 	193337443 	565030638 	150836558 	957626880 	399392153 	650379706
2013/11/27 18:00 	66771287 	574110685 	67562929 	842798694 	125750374 	98619187
2013/11/28 18:00 	71841950 	521999291 	29000142 	374583431 	116860518 	76639505
2013/11/29 18:00 	77942154 	508428014 	27080466 	138734352 	173442184 	71121134
2013/11/30 18:00 	127600653 	997569126 	27232321 	160555348 	254326374 	69154064
2013/12/01 18:00 	294207270 	1030316031 	85146245 	615663616 	602724283 	231942007
2013/12/02 18:00 	272319619 	856884667 	74029287 	502034158 	602716261 	167785915
2013/12/03 18:00 	279424291 	1041456605 	113831865 	788590215 	569925563 	366317943
2013/12/04 18:00 	305739599 	971187301 	107856065 	725754504 	592484317 	195635336
2013/12/05 18:00 	258097259 	807757311 	170183808 	729961198 	522585599 	520238694
2013/12/06 18:00 	86531385 	490294271 	29791249 	146143401 	135785676 	75022643
2013/12/07 18:00 	129547636 	961352021 	31807007 	145811284 	274229963 	74438075
2013/12/08 18:00 	292545230 	1011879457 	104067232 	574113074 	652846659 	201886309
2013/12/09 18:00 	294502630 	880835379 	84406786 	531890926 	602661648 	151312724
2013/12/10 18:00 	293417390 	843747362 	128877942 	753445477 	579495423 	257544192
2013/12/11 18:00 	280216257 	826238019 	173911867 	1014525097 	533065591 	820548709
2013/12/12 18:00 	249480186 	826869486 	235371946 	1040051745 	555618098 	894063410
2013/12/13 18:00 	121670924 	528115540 	407360082 	1009700829 	240278459 	883711863
2013/12/14 18:00 	121267289 	907696127 	56172528 	592486638 	242142787 	127539609
2013/12/15 18:00 	280393917 	1038610500 	249078274 	919460487 	609614370 	750917870
2013/12/16 18:00 	296231088 	950719931 	99527944 	937437286 	590856805 	168820735
2013/12/17 18:00 	288965310 	814618213 	218176112 	1080244974 	606698563 	838672281
2013/12/18 18:00 	262153539 	808045123 	104370894 	911382390 	551238587 	190566980
2013/12/19 18:00 	245334703 	1228743952 	94709476 	912033825 	533896191 	226018406
2013/12/20 18:00 	73733758 	564563284 	113475110 	929462305 	121623312 	308451703
2013/12/21 18:00 	189910358 	900055756 	61037561 	667611681 	578806578 	76095896
2013/12/22 18:00 	232539080 	808537770 	59673461 	565260048 	534461781 	117605205
2013/12/23 18:00 	154667565 	639553399 	86545199 	903751064 	318814377 	232662698
2013/12/24 18:00 	56317995 	506370661 	119267502 	868976810 	115084458 	283235600
2013/12/25 18:00 	166825573 	676435796 	56067498 	680914943 	377050657 	135931528
2013/12/26 18:00 	176568441 	668798907 	46862380 	310408532 	403488153 	83879559
2013/12/27 18:00 	60791397 	458771591 	29242203 	157578239 	119108436 	54296609
2013/12/28 18:00 	98577105 	810974173 	27789413 	167614190 	205032720 	52189934
2013/12/29 18:00 	246456018 	1106755822 	74315789 	374742323 	571198122 	129868731
2013/12/30 18:00 	192734479 	824042427 	126466089 	366465330 	408866576 	317930769
2013/12/31 18:00 	67001331 	496793190 	33510409 	93752388 	117421225 	46067540
2014/01/01 18:00 	226191525 	704316927 	92868680 	888967645 	489370009 	189456178
2014/01/02 18:00 	228798675 	894501784 	200526744 	956713710 	498171869 	487774002
2014/01/03 18:00 	76783194 	503427890 	95350096 	955921100 	123889424 	298224844
2014/01/04 18:00 	118494642 	1030208272 	94351122 	829104400 	255745501 	227015371
2014/01/05 18:00 	173916718 	720138547 	29763021 	512028944 	321272865 	60275438
2014/01/06 18:00 	258969782 	915217817 	65437928 	476230860 	537040349 	153910305
2014/01/07 18:00 	300226475 	1031957503 	107207385 	573186730 	614224314 	304710245
2014/01/08 18:00 	300636990 	1095795301 	79373211 	479236436 	711004227 	208569207
2014/01/09 18:00 	258933181 	928251084 	194564554 	995977829 	547920963 	420004249
2014/01/10 18:00 	90205440 	594314478 	49046899 	540534817 	157043779 	108286565
2014/01/11 18:00 	139424977 	1004832802 	24456196 	184249002 	261888272 	34759031
2014/01/12 18:00 	279516488 	958464375 	102150222 	754327824 	582861038 	271168989
2014/01/13 18:00 	342319292 	1275164227 	160369243 	908521915 	769339391 	655947059
2014/01/14 18:00 	500404769 	1554129782 	252886606 	926443519 	1156316910 	829560148
2014/01/15 18:00 	300934449 	905681714 	330930997 	952743320 	672070621 	855524112
2014/01/16 18:00 	284816539 	931982676 	376215455 	949083647 	580525363 	844896494
2014/01/17 18:00 	104128475 	546631304 	208474899 	927229029 	142917290 	811046126
2014/01/18 18:00 	128812777 	873772066 	18513156 	83187916 	206662928 	27197302
2014/01/19 18:00 	163604016 	673663623 	24483745 	552787933 	328984199 	39574493
2014/01/20 18:00 	285796439 	835660697 	106050465 	752822544 	614876364 	349151266
2014/01/21 18:00 	275526134 	829457237 	115624251 	889600408 	550509158 	249911534
2014/01/22 18:00 	285300109 	956338106 	170255586 	908428185 	556969300 	609688438
2014/01/23 18:00 	291932360 	946676872 	151147199 	905372364 	663585484 	439190971
2014/01/24 18:00 	92985045 	695194111 	55588387 	746532624 	189299063 	57592797
2014/01/25 18:00 	180394986 	835879799 	19754789 	50942395 	573653367 	28259737
2014/01/26 18:00 	294080046 	1090290346 	73778715 	540325717 	647526638 	131778149
2014/01/27 18:00 	292398645 	921986866 	92641218 	782186154 	632810495 	176452334
2014/01/28 18:00 	304241523 	992330752 	132212734 	928856712 	660818909 	454517144
2014/01/29 18:00 	296141133 	1099677456 	159783988 	974060611 	679144925 	709425765
2014/01/30 18:00 	281298792 	1102155263 	160795738 	959040170 	603587140 	574004599
2014/01/31 18:00 	111550736 	891989162 	51594918 	715653631 	203345509 	57806779
2014/02/01 18:00 	135024810 	896731681 	24550019 	94583739 	239913027 	43887478
2014/02/02 18:00 	294543009 	1263387682 	54652197 	524404633 	623585041 	111721334
2014/02/03 18:00 	256576014 	797019033 	61811138 	728418781 	568096084 	116789793
2014/02/04 18:00 	311337733 	1107414493 	100857814 	790846464 	817953996 	278629477
2014/02/05 18:00 	332841644 	1193149643 	142659167 	928986248 	807837559 	288789059
2014/02/06 18:00 	342098061 	1089007854 	287528452 	935672967 	777662429 	693552332
2014/02/07 18:00 	110995235 	619175492 	40635410 	317566224 	230245102 	69312818
2014/02/08 18:00 	142724567 	1063000098 	25200424 	155676603 	276304588 	38763280
2014/02/09 18:00 	307149447 	1076637046 	80646669 	929275630 	666605806 	164864750
2014/02/10 18:00 	310747204 	1013949610 	83983185 	829805157 	680818380 	142067096
2014/02/11 18:00 	319201042 	1043508905 	154213156 	881642529 	641850094 	624240878
2014/02/12 18:00 	290520952 	982307975 	140746177 	843805934 	610206889 	489759265
2014/02/13 18:00 	264906044 	1101351321 	150962130 	854825642 	550363647 	589402658
2014/02/14 18:00 	122898956 	731882325 	33201068 	248318804 	226751419 	91760673
2014/02/15 18:00 	140440339 	825543474 	24729260 	241008707 	262690576 	34640520
