Date	RX Average	RX Peak	TX Average	TX Peak	RX90	TX90
2013/06/30 19:00 	131963361 	393219447 	454617478 	1632559138 	205236121 	1219102549
2013/07/01 19:00 	192229067 	559554116 	441229554 	1103610470 	286717815 	767924155
2013/07/02 19:00 	165383688 	546716945 	438432779 	1096156194 	257365026 	757510963
2013/07/03 19:00 	148897911 	410581162 	244369156 	737647069 	259004450 	448607641
2013/07/04 19:00 	135225984 	455634705 	302401865 	1077463278 	287548450 	613445393
2013/07/05 19:00 	131319747 	386915225 	342733309 	900641553 	313969698 	608292659
2013/07/06 19:00 	165252896 	567565960 	372961391 	1097162922 	363465352 	778609868
2013/07/07 19:00 	165917067 	706647210 	389149344 	1049188590 	488043588 	722491323
2013/07/08 19:00 	76311737 	314409369 	330418101 	1048540672 	158401058 	763393228
2013/07/09 19:00 	173739033 	495336550 	328046616 	1125383953 	327822984 	728998741
2013/07/10 19:00 	172231057 	389982378 	380837033 	1164317081 	261364394 	766984123
2013/07/11 19:00 	102843745 	388367701 	430565290 	1150302173 	196430472 	766082116
2013/07/12 19:00 	62861857 	175034845 	94651724 	493150173 	86754713 	176869785
2013/07/13 19:00 	78201352 	291617484 	83956864 	221769898 	100480409 	135541009
2013/07/14 19:00 	200862494 	784632695 	402746828 	1398807074 	367274564 	743481105
2013/07/15 19:00 	166616225 	567774754 	590310103 	1137264059 	351641907 	852542805
2013/07/16 19:00 	320840188 	972535808 	557043448 	1469855300 	671601254 	1006873565
2013/07/17 19:00 	147025435 	524046267 	595840044 	1534096793 	317604932 	1088383044
2013/07/18 19:00 	132729066 	854637124 	516606113 	1541014801 	234138487 	1012499729
2013/07/19 19:00 	32045227 	78896571 	355356113 	527202235 	43632810 	399837013
2013/07/20 19:00 	47795481 	150648046 	353740911 	555755724 	66636663 	410507093
2013/07/21 19:00 	82052789 	962801527 	530404410 	1393974033 	146782037 	1096308667
2013/07/22 19:00 	86906546 	371426577 	395435174 	1491766033 	163208021 	834978065
2013/07/23 19:00 	100308307 	671748061 	382692054 	1362086673 	214044023 	880973038
2013/07/24 19:00 	125705794 	430492125 	307386597 	909424605 	235273420 	680584669
2013/07/25 19:00 	112832174 	522960930 	378290530 	1568578833 	203251780 	788772727
2013/07/26 19:00 	45228912 	153307989 	136292043 	771439274 	68582570 	211669162
2013/07/27 19:00 	43628996 	234471970 	308394799 	1050398071 	57516407 	704506777
2013/07/28 19:00 	89765397 	458167057 	326985000 	1070740309 	155952025 	690850133
2013/07/29 19:00 	76516252 	393226137 	397695050 	1130738858 	136026419 	829608072
2013/07/30 19:00 	90725205 	375751099 	562686337 	1237475976 	171465181 	1003666090
2013/07/31 19:00 	117434015 	406085939 	327986751 	1042392541 	200871594 	698501768
2013/08/01 19:00 	148768701 	1103203054 	275596513 	989322308 	544405265 	594467737
2013/08/02 19:00 	38602853 	113079261 	99436216 	214506564 	53774404 	142828953
2013/08/03 19:00 	49657445 	131857783 	92209015 	251837917 	78363101 	147161497
2013/08/04 19:00 	87576732 	310472806 	451929550 	1222203904 	166295859 	963693499
2013/08/05 19:00 	131663612 	320164898 	572384286 	1258785860 	206828714 	927580057
2013/08/06 19:00 	83891310 	303222476 	505880313 	1313470020 	143142161 	927913881
2013/08/07 19:00 	80862876 	377929728 	339004760 	1034684552 	176197188 	706545425
2013/08/08 19:00 	134069831 	631009143 	406898217 	989190041 	282077013 	738722338
2013/08/09 19:00 	59900853 	155494775 	243286994 	526705049 	102548855 	314440362
2013/08/10 19:00 	53590997 	132249361 	180450758 	661116108 	65935906 	253199872
2013/08/11 19:00 	247395662 	617357312 	394934795 	1062800930 	444856900 	779735756
2013/08/12 19:00 	239264430 	907426235 	465837863 	1000699699 	348930457 	800871731
2013/08/13 19:00 	364138953 	874611507 	420536670 	1254211208 	744635426 	788696644
2013/08/14 19:00 	230077031 	677601621 	445778605 	1244580215 	433334203 	915744802
2013/08/15 19:00 	188140962 	609987652 	386416012 	1068096136 	388205909 	804167714
2013/08/16 19:00 	137931446 	311153390 	259629876 	645549670 	237460957 	420393233
2013/08/17 19:00 	82978000 	182777036 	291886392 	698291712 	124623598 	504920951
2013/08/18 19:00 	185178586 	768845243 	417556979 	1107971584 	325248409 	743856196
2013/08/19 19:00 	159341683 	488966621 	564992655 	1670393173 	259186824 	1452208230
