Date	RX Average	RX Peak	TX Average	TX Peak	RX90	TX90
2013/06/30 19:00 	15837930 	111977198 	6015248 	72171075 	37834342 	13162973
2013/07/01 19:00 	16400273 	117461810 	5592785 	59267856 	38942344 	14485674
2013/07/02 19:00 	15137435 	98055986 	5223136 	79219609 	37738563 	12799419
2013/07/03 19:00 	2317044 	116313735 	1211675 	59053806 	2619152 	1755818
2013/07/04 19:00 	10720897 	118163728 	6421058 	89556786 	26907613 	16853503
2013/07/05 19:00 	2394580 	91480438 	996603 	26864434 	2557473 	1545386
2013/07/06 19:00 	2128175 	89606723 	1244465 	51996842 	2020726 	1599658
2013/07/07 19:00 	18699089 	126159427 	7894239 	62707916 	48526097 	19868022
2013/07/08 19:00 	15598506 	97428410 	6973548 	95665288 	39162026 	17830570
2013/07/09 19:00 	17767051 	120408028 	6877927 	61028112 	41249757 	17688404
2013/07/10 19:00 	17557273 	128423696 	5970193 	63850529 	40253166 	12633190
2013/07/11 19:00 	16569475 	140326774 	9979466 	102110480 	43229695 	31398331
2013/07/12 19:00 	2667057 	102598792 	1152765 	8986248 	3088281 	2018849
2013/07/13 19:00 	2656591 	110541345 	1098569 	13312442 	3041176 	1746397
2013/07/14 19:00 	14928966 	131898367 	7642739 	66736742 	36303802 	23909921
2013/07/15 19:00 	16915128 	111141580 	7054245 	97317580 	39339485 	19114529
2013/07/16 19:00 	14798076 	106387114 	4206069 	41194393 	36478019 	9279385
2013/07/17 19:00 	15299965 	111016037 	4984590 	69633501 	36468019 	10624102
2013/07/18 19:00 	15265558 	103588420 	7719036 	83910348 	35903317 	20781055
2013/07/19 19:00 	2981293 	76790339 	1069145 	14882303 	3786341 	1815722
2013/07/20 19:00 	2702694 	65283754 	956480 	16378162 	2603212 	1573033
2013/07/21 19:00 	16435078 	140214339 	6090026 	64547532 	37180722 	15763967
2013/07/22 19:00 	16436283 	96442776 	5671867 	103835101 	44036471 	14572884
2013/07/23 19:00 	15966467 	98452206 	10531991 	79359044 	37158740 	49200605
2013/07/24 19:00 	15909461 	95007573 	10568758 	74639598 	40284295 	50005059
2013/07/25 19:00 	14384684 	97519888 	6508205 	98706909 	36385211 	10509106
2013/07/26 19:00 	3558554 	103162777 	1599844 	63477964 	7439837 	3088417
2013/07/27 19:00 	2542138 	122406502 	860779 	5810380 	2247987 	1470463
2013/07/28 19:00 	14877657 	135305897 	4956995 	68509934 	35774190 	12699954
2013/07/29 19:00 	18581265 	114303180 	5902609 	122750565 	45212193 	12029848
2013/07/30 19:00 	13930220 	115356022 	4336355 	99949533 	35577958 	8651605
2013/07/31 19:00 	19096463 	121249655 	4927341 	49623312 	53097027 	10500095
2013/08/01 19:00 	13239736 	97680485 	6426809 	86771302 	31851315 	11842491
2013/08/02 19:00 	2701216 	81880609 	955259 	16578115 	2845661 	1617646
2013/08/03 19:00 	3074912 	111140078 	889114 	12733336 	2768520 	1489441
2013/08/04 19:00 	19443835 	110288212 	5336630 	61304728 	48457454 	12433100
2013/08/05 19:00 	18724863 	105391376 	8063693 	93631829 	54764851 	20606804
2013/08/06 19:00 	25211106 	117862570 	6467050 	69909162 	56265181 	14400477
2013/08/07 19:00 	14622300 	115247820 	4886691 	63086488 	36124057 	10612735
2013/08/08 19:00 	14974117 	141180722 	6179430 	60037495 	37557589 	11492829
2013/08/09 19:00 	3444327 	115368481 	4446547 	88691268 	4116241 	3565738
2013/08/10 19:00 	2743117 	112992528 	1720070 	20440882 	2991342 	2232899
2013/08/11 19:00 	22946199 	134813832 	9438462 	84240861 	69387570 	21754811
2013/08/12 19:00 	18760710 	128535175 	7651746 	100302164 	48169062 	18708752
2013/08/13 19:00 	14915403 	111585962 	5599964 	64674474 	34863138 	11779754
2013/08/14 19:00 	17157577 	115386435 	5275257 	44783205 	41529002 	10476407
2013/08/15 19:00 	13596683 	117150412 	7394348 	97632051 	33648878 	15716794
2013/08/16 19:00 	2165227 	81396735 	1066612 	38087235 	2692948 	1614369
2013/08/17 19:00 	2042093 	91154500 	910829 	12621653 	2320178 	1414314
2013/08/18 19:00 	16196537 	93934932 	6464722 	81977036 	36903150 	10967346
2013/08/19 19:00 	15545039 	116432008 	8301199 	69595818 	36618103 	22718736
2013/08/20 19:00 	15884717 	110894864 	7019552 	89525793 	37175295 	16729122
2013/08/21 19:00 	14745624 	100182800 	5332476 	62254079 	36665855 	12978721
2013/08/22 19:00 	14558780 	109161949 	7741535 	88470595 	37317767 	19549490
2013/08/23 19:00 	2561636 	117506047 	1258917 	63527013 	3320558 	1927235
2013/08/24 19:00 	2358241 	98943726 	1152191 	23185169 	3089577 	1843814
2013/08/25 19:00 	21390220 	128467284 	6849089 	86978457 	50612019 	19409544
2013/08/26 19:00 	17007432 	135686655 	7331119 	83897139 	38652244 	19445760
2013/08/27 19:00 	21579162 	118170419 	6433389 	54119355 	47581183 	15359180
2013/08/28 19:00 	22204697 	140959265 	6492018 	74662912 	49316078 	15791411
2013/08/29 19:00 	17624887 	100553795 	4873910 	58195318 	52415009 	11666431
2013/08/30 19:00 	4082774 	101694634 	5645491 	97791692 	3533652 	11574067
2013/08/31 19:00 	1655688 	64996181 	913530 	14996922 	2030693 	1334237
2013/09/01 19:00 	6347344 	103162674 	8392631 	46348117 	28754670 	28553728
2013/09/02 19:00 	17124983 	121848866 	7877922 	92497851 	41242350 	22849672
2013/09/03 19:00 	17537714 	118083071 	5460697 	88916718 	48912042 	12152183
2013/09/04 19:00 	25247296 	173609403 	8812833 	86002073 	86837486 	24388539
2013/09/05 19:00 	16780049 	143063073 	9499957 	97858286 	42721210 	21987020
2013/09/06 19:00 	2964864 	76512528 	1902505 	52890896 	3270245 	2388821
2013/09/07 19:00 	3101284 	93249364 	1872859 	29197243 	3904033 	2397149
2013/09/08 19:00 	22589906 	161943209 	7932829 	107932466 	65126946 	20401834
2013/09/09 19:00 	18451004 	126423858 	7519669 	81755271 	46356991 	20208469
2013/09/10 19:00 	19757516 	169099877 	7250468 	78047846 	45548987 	19437430
2013/09/11 19:00 	18729889 	106216481 	6830743 	53261447 	48040789 	20163378
2013/09/12 19:00 	16485439 	129419809 	9198629 	90435924 	38668389 	24214664
2013/09/13 19:00 	2899466 	108871781 	1346029 	23492027 	3505766 	2116982
2013/09/14 19:00 	2306975 	81402776 	1223349 	15285725 	2783367 	2001851
2013/09/15 19:00 	18577752 	124880896 	6556999 	61539430 	46377675 	17360998
2013/09/16 19:00 	19144875 	145082026 	6574356 	62280122 	47061161 	18195045
2013/09/17 19:00 	17861566 	109407196 	6116727 	70974668 	44190992 	16719462
2013/09/18 19:00 	17063900 	115180884 	5479559 	91716436 	44544614 	12686199
2013/09/19 19:00 	15157776 	117146725 	7539283 	98957311 	38844756 	14678732
2013/09/20 19:00 	3205402 	95992524 	1149498 	14208853 	4028927 	1757387
2013/09/21 19:00 	2474697 	56039628 	1114138 	6566126 	2731212 	1974612
2013/09/22 19:00 	19340928 	96897570 	5974416 	59610794 	44911103 	15525716
2013/09/23 19:00 	19226986 	108760951 	6344022 	81670348 	48541524 	13124914
2013/09/24 19:00 	16114895 	96537121 	5432435 	59158834 	38579301 	11307212
2013/09/25 19:00 	18218202 	151888554 	6453934 	75884680 	52839150 	17088819
2013/09/26 19:00 	15874855 	129897437 	8005125 	85707161 	42653524 	21830382
2013/09/27 19:00 	2255271 	99532936 	1086556 	22287837 	2649838 	1692501
2013/09/28 19:00 	3146443 	98379092 	1118872 	19171600 	2609014 	1926313
2013/09/29 19:00 	18822824 	108571648 	5334983 	56900607 	56300611 	12379408
2013/09/30 19:00 	16210917 	141239329 	10637177 	164129313 	41261294 	24706730
