Date	RX Average	RX Peak	TX Average	TX Peak	RX90	TX90
2013/06/30 19:00 	76421122 	360910573 	44345872 	285793620 	183711434 	112883983
2013/07/01 19:00 	79695836 	301398389 	51136155 	235018954 	187662436 	138466268
2013/07/02 19:00 	69149335 	327838616 	50552606 	292780917 	173659680 	138554503
2013/07/03 19:00 	18356886 	126730444 	9915520 	113633824 	28266016 	19222015
2013/07/04 19:00 	45597910 	185126364 	30743722 	142251246 	111810387 	73527635
2013/07/05 19:00 	17708503 	92141566 	10546095 	77579365 	26509855 	18897269
2013/07/06 19:00 	18096289 	71032045 	11445005 	86941387 	32242037 	25307545
2013/07/07 19:00 	82552530 	347444359 	51156866 	287624975 	208767657 	135819536
2013/07/08 19:00 	91974276 	375680101 	64382565 	302625587 	229909298 	173134642
2013/07/09 19:00 	89219144 	360976894 	59471031 	339097462 	215711060 	155145794
2013/07/10 19:00 	112677796 	420221608 	79404673 	342757886 	280458136 	204314417
2013/07/11 19:00 	97872794 	429075386 	66316014 	358730477 	242632634 	178480910
2013/07/12 19:00 	17252538 	65134487 	8451089 	59583315 	27424186 	17704036
2013/07/13 19:00 	18558698 	77939129 	8953738 	72573164 	34641679 	20603630
2013/07/14 19:00 	72906492 	290539041 	40535164 	237373881 	175654569 	103649584
2013/07/15 19:00 	102315603 	553281807 	58698577 	446409862 	258533886 	137930818
2013/07/16 19:00 	86072338 	327100586 	52681104 	278925208 	202602563 	129916857
2013/07/17 19:00 	101751422 	501253119 	66670256 	376447282 	233613822 	165831850
2013/07/18 19:00 	80161161 	379822727 	47989105 	303654536 	191272957 	127634294
2013/07/19 19:00 	22137505 	88008429 	12706856 	73104621 	39921628 	25616484
2013/07/20 19:00 	21534937 	69775666 	11695242 	107380973 	37457611 	25288019
2013/07/21 19:00 	86871390 	365512360 	50394747 	258563889 	205368216 	130558326
2013/07/22 19:00 	95696749 	424488856 	61140597 	293457577 	252408216 	169555591
2013/07/23 19:00 	89136593 	353377585 	59461478 	245606398 	214012961 	153437046
2013/07/24 19:00 	85072033 	447086009 	51669491 	355434631 	211960113 	143232442
2013/07/25 19:00 	78335884 	432168890 	48617126 	388768254 	183725839 	122665914
2013/07/26 19:00 	21580655 	63944327 	11098414 	66571569 	34635809 	22884794
2013/07/27 19:00 	19893961 	62669003 	8586881 	53715044 	30775806 	18171458
2013/07/28 19:00 	83831348 	264853844 	49280733 	219695683 	192474895 	119148542
2013/07/29 19:00 	91688917 	419037933 	61097647 	310374672 	210434661 	155529726
2013/07/30 19:00 	89590835 	490968061 	55760739 	425541255 	215419526 	147273487
2013/07/31 19:00 	81797054 	367336924 	48844847 	283865326 	181358965 	118138263
2013/08/01 19:00 	71791566 	356561372 	41641568 	235520647 	162958812 	102661631
2013/08/02 19:00 	23541771 	81121415 	12796389 	68004487 	37515774 	24363109
2013/08/03 19:00 	24546773 	101251924 	12751679 	72216471 	42156269 	28640664
