__status,sys_created_by,sys_created_on,sys_id,sys_mod_count,sys_updated_by,sys_updated_on,u_bldg_code,u_building,u_comments,u_floor,u_name,u_room,u_room_key,u_tr
success,RhondaAdmin,2014-03-24 21:03:56,00220f1389a31100090da23bf5f0e4ae,1,svc-midsrv,2014-06-07 09:00:26,f1b04b1389a31100090da23bf5f0e4e6,ca57db4454cd6c00370f77cd1a50eea2, (MSCNS Floor: 0B Rm: 39),7f57130854cd6c00370f77cd1a50ee1b,EASTI00A,,C63,A
success,RhondaAdmin,2014-03-24 21:03:57,00220f1389a31100090da23bf5f0e4af,0,RhondaAdmin,2014-03-24 21:03:57,75b04b1389a31100090da23bf5f0e4e6,1d57db4454cd6c00370f77cd1a50ee15,room EP-02-039 (MSCNS Floor: 02 Rm: 039),30575bc454cd6c00370f77cd1a50ee5f,EP02A,,CBCA,A
success,RhondaAdmin,2014-03-24 21:04:16,01324f1389a31100090da23bf5f0e40c,0,RhondaAdmin,2014-03-24 21:04:16,c2b04b1389a31100090da23bf5f0e4ea,ae56534454cd6c00370f77cd1a50eec5, (MSCNS Floor: 01 Rm: 1014),ac571bc454cd6c00370f77cd1a50eef8,WC01A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:04:17,01324f1389a31100090da23bf5f0e41a,0,RhondaAdmin,2014-03-24 21:04:17,06b04b1389a31100090da23bf5f0e4ea,7b565f0454cd6c00370f77cd1a50eef0, (MSCNS Floor: 02 Rm: 2011),30575bc454cd6c00370f77cd1a50ee5f,WEST02A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:24:17,02c64f5389a31100090da23bf5f0e4dd,0,RhondaAdmin,2014-03-24 21:24:17,,,,,EASTERL01A,,,
success,RhondaAdmin,2014-03-24 21:03:52,03120f1389a31100090da23bf5f0e499,0,RhondaAdmin,2014-03-24 21:03:52,f9b04b1389a31100090da23bf5f0e4e5,a856134454cd6c00370f77cd1a50ee8a, (MSCNS Floor: 10 Rm: 10082),cd57530854cd6c00370f77cd1a50ee20,CSRB10C,,PMS9,C
success,RhondaAdmin,2014-03-24 21:04:08,03220f1389a31100090da23bf5f0e4e1,0,RhondaAdmin,2014-03-24 21:04:08,f1b04b1389a31100090da23bf5f0e4e8,2157574454cd6c00370f77cd1a50eef1, (MSCNS Floor: 15 Rm: 15009),3469d30c54cd6c00370f77cd1a50ee30,NWT15A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:04:41,03424f1389a31100090da23bf5f0e468,0,RhondaAdmin,2014-03-24 21:04:41,b1b04b1389a31100090da23bf5f0e4e6,e8579b4454cd6c00370f77cd1a50ee7f,Neuro imaging lab file server room (MSCNS Floor: 02 Rm: 2118),30575bc454cd6c00370f77cd1a50ee5f,EAST02D,,badge,D
success,RhondaAdmin,2014-03-24 21:03:56,04220f1389a31100090da23bf5f0e4ae,0,RhondaAdmin,2014-03-24 21:03:56,f1b04b1389a31100090da23bf5f0e4e6,ca57db4454cd6c00370f77cd1a50eea2, (MSCNS Floor: 01 Rm: 1039),ac571bc454cd6c00370f77cd1a50eef8,EASTI01A,,C63,A
success,RhondaAdmin,2014-03-24 21:03:57,04220f1389a31100090da23bf5f0e4af,0,RhondaAdmin,2014-03-24 21:03:57,75b04b1389a31100090da23bf5f0e4e6,1d57db4454cd6c00370f77cd1a50ee15,room EP-02-039 (MSCNS Floor: 16 Rm: 103),3569d30c54cd6c00370f77cd1a50eee1,EP16A,,CBCA,A
